"ID";"Nimi";"Kokoelma";"Yleislaji";"Tyyppi";"Muistiinpanija";"Vuosi";"Sivu";"Tahtilaji";"Sävellaji";"Pitäjä";"Kylä";"Maakunta";"Lääni";"Sanat";"Kirjahuomiot";"Kommentit";"Samanlaisuus";"Intervalli";"Melodian suunta"
"kt1_0001";"Nuorten miesten speli";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"7";"3/4";"C";"-()";"";"";"";"";"";"Ensimmäiset 4 tahtia on G-duurissa";"";"+1-12+2+2+2+1+2-2-1+1+2+2-4+4+0+1-12+2+2+2+1+2-2-1+1-12+16+1-12+2+2+2+1+2-2-1+1+2+2-4+4+0+1-12+2+2+2+1+2-2-1+1-12+21+1-1-2+2-4+0+2+2+1-1+1-1-2-2-1-4+10-1-2+2-4+0+2+2+1-1+1-3+2-4+2+2+1+2-3+3+0-2-3+3+0-1-4+4+0-2-2-1+1-12+16+1-1-2+2-4+0+2+2+1-1+1-1-2-2-1-4+10-1-2+2-4+0+2+2+1-1+1-3+2-4+2+2+1+2-3+3+0-2-3+3+0-1-4+4+0-2-2-1+1-12+7+2+2+1+2+2-4-1-2+5-2-1-2-2+2+2+1+2+2+1-1-2-2-1+1+2-12+5+2+2+1+2+2-4-1-2+5-2-1-2-2+2+2+1+2+2+1-1-2-2-1+1+2-12+14+1-1-2+2-4+0+2+2+1-1+1-1-2-2-1-4+10-1-2+2-4+0+2+2+1-1+1-3+2-4+2+2+1+2-3+3+0-2-3+3+0-1-4+4+1-3-2-1+1-12";"uduuuuudduuuduruduuuuudduduuduuuuudduuuduruduuuuudduduuddudruuududdddduddudruuudududuuuudurddurddurddduduuddudruuududdddduddudruuudududuuuudurddurddurddduduuuuuudddudddduuuuuudddduuduuuuuudddudddduuuuuudddduuduuddudruuududdddduddudruuudududuuuudurddurdduudddud"
"kt1_0002";"";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"8";"3/4";"C";"-()";"";"";"";"";"";"";"";"+2+2+0+1+0+4-2-2+0-1+0-4+2+2+1+2+2+0-2-2+0+2+0+2-2+2+1+2-2-3+3-1-2-2-1+1+4-2+2+1+2-3-2-2+4-2-2-1+1-12+7+2+2+0+1+0+4-2-2+0-1+0-4+2+2+1+2+2+0-2-2+0+2+0+2-2+2+1+2-2-3+3-1-2-2-1+1+4-2+2+1+2-3-2-2+4-2-2-1+1-12+16-2+2+1+2+0-2+2-2-1-2+2-2-2+2+5+2-2-2-1+0-2-2+0+2+0+2-2+2+1+2-3-2+3-1-2-2-1+1+4-2+2+3-2-1-2-2+4-2-2-1+1-12+16-2+2+1+2+0-2+2-2-1-2+2-2-2+2+5+2-2-2-1+0-2-2+0+2+0+2-2+2+1+2-3-2+3-1-2-2-1+1+4-2+2+3-2-1-2-2+4-2-2-1+1-12";"uururuddrdrduuuuurddruruduuuddudddduuduuuddduddduduuururuddrdrduuuuurddruruduuuddudddduuduuudddudddududuuurdudddudduuudddrddruruduuuddudddduuduuddddudddududuuurdudddudduuudddrddruruduuuddudddduuduuddddudddud"
"kt1_0003";"";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"9";"3/4";"C";"-()";"";"";"";"";"";"";"";"+2+2+1+2+0-2+0-1+1+2+2-2-2-1+1-1+0+1-3+0+2-4+0-1+0-4+2-2+2+2-4+5+0+2-2-1-4+5+2+2+1-1+1-3+5+2-2-2-1+1-1-2+2-4+4-2-2-1+1-12+12+2+2+1+2+0-2+0-1+1+2+2-2-2-1+1-1+0+1-3+0+2-4+0-1+0-4+2-2+2+2-4+5+0+2-2-1-4+5+2+2+1-1+1-3+5+2-2-2-1+1-1-2+2-4+4-2-2-1+1-12+16-4+0+4+0+3-5-2-1-2-2+2+2+1+2+2-4+0-1-2+0+3-1-4+4-2-2-1+1-5-3-4+12+0-2-1-4+4+1+2+0+2+0+2+0-4+5-5+0-2-1-4+4+1+2+0+2+0+2+0-4+5+0+2+2-2-2-1+1+2+2+1-1-2+5+2-2-2-1+1-1-2+2-4+4-2-2-1+1-12+16-4+0+4+0+3-5-2-1-2-2+2+2+1+2+2-4+0-1-2+0+3-1-4+4-2-2-1+1-5-3-4+12+0-2-1-4+4+1+2+0+2+0+2+0-4+5-5+0-2-1-4+4+1+2+0+2+0+2+0-4+5+0+2+2-2-2-1+1+2+2+1-1-2+5+2-2-2-1+1-1-2+2-4+4-2-2-1+1-12";"uuuurdrduuudddudrudrudrdrduduuduruddduuuududuuddduddududdduduuuuurdrduuudddudrudrudrdrduduuduruddduuuududuuddduddududddududruruddddduuuuudrddruddudddudddurddduuurururdudrddduuurururduruuddduuuudduuddduddududddududruruddddduuuuudrddruddudddudddurddduuurururdudrddduuurururduruuddduuuudduuddduddududddud"
"kt1_0004";"Morsianspeli pijkains kansa";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"10";"3/4";"C";"-()";"";"";"";"";"";"";"";"+2+2+1+0-1+0-2-2-1-2+2-4+12-2+2+2+0-2+0-2-1-2+3-1-4+0+0+2+2+1+0-1+0-2-2-1-2+2-4+12-2+2+2+0-2+0-2-1-2+3-1-4+0+7-2+2-2-3+3-1-4+5-3+2+1-1+0-2-2-1+1+2+2+1-1-2-2+4-2-2-1+1-12+19-2+2-2-3+3-1-4+5-3+2+1-1+0-2-2-1+1+2+2+1-1-2-2+4-2-2-1+1-12";"uuurdrddddududuurdrddduddrruuurdrddddududuurdrddduddrududdudduduudrddduuuudddudddudududdudduduudrddduuuudddudddud"
"kt1_0005";"";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"10";"3/4";"F";"-()";"";"";"";"";"";"Menee g-mollissa";"";"+1+0-1+1+2+2+2+1-1+1+2-2-1+1-3-5+1+0-1+1+2+2+2+1-1+1+2-2-1+1-3-5+1+0-1+1+2+2+2+1-1+1+2-2-1+1-3-5+1+0-1+1+2+2+2+1-1+1+2-2-1+1-3-5+1+0-1+1+2+2-4+0-1-2+2+3-2-1+1+0-1-2+2+1-3+3-1-2-1+1-12+14+1+0-1+1+2+2-4+0-1-2+2+3-2-1+1+0-1-2+2+1-3+3-1-2-1+1-12";"urduuuuuduudduddurduuuuuduudduddurduuuuuduudduddurduuuuuduudduddurduuudrdduuddurdduududdduduurduuudrdduuddurdduududddud"
"kt1_0006";"";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"11";"3/4";"C";"-()";"";"";"";"";"";"";"";"+0+0-2+0+2+2+3-2-1-2-2+2-2-1-2-2-2+0-1-2-2+14+0+0-2+0+2+2+3-2-1-2-2-1+1+2+2+1+2-5+0+0-2+0+2+2+3-2-1-2-2+2-2-1-2-2-2+0-1-2-2+14+0+0-2+0+2+2+3-2-1-2-2-1+1+2+2+1+2-3+1-1-2+2-2-2-5+5+4-4-5+5+4-4-5+5+4-4+4+1-1-2+2-2-2-5+5+4-4-5+5+4-4-5+5+4-4+5-1+1+4-2+0-2-1-2-2-1+1+2+0+0-2+4+1-1-2+2-2-2-5+5+4-4-5+5+4-4-5+5+4-4+4+1-1-2+2-2-2-5+5+4-4-5+5+4-4-5+5+4-4+5-1+1+4-2+0-2-1-2-2-1+1+2+0+0-2";"rrdruuuddddudddddrdddurrdruuuddddduuuuudrrdruuuddddudddddrdddurrdruuuddddduuuuududduddduudduudduuduudduddduudduudduududuudrddddduurrduudduddduudduudduuduudduddduudduudduududuudrddddduurrd"
"kt1_0007";"Hullu Sakari";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"12";"3/4";"c";"-()";"";"";"";"";"Nämä 7. ja 8. ovat sama polkka, eri versiot.";"";"";"+5-9+0-1+0+9+1-5+2+2+3+1+0-1+1+2+2-2-2-1-2+0-1+1+2+1-1-2-1+0+0+1-9+0-1+0+9+1-5+2+2+3+1+0-1-2-1+1+5+0+2-4-1-2-1+1-12+7+5-9+0-1+0+9+1-5+2+2+3+1+0-1+1+2+2-2-2-1-2+0-1+1+2+1-1-2-1+0+0+1-9+0-1+0+9+1-5+2+2+3+1+0-1-2-1+1+5+0+2-4-1-2-1+1-12+17+2-4+0-1+1+4+0-2+0-2-1-2+2+1+2-2-1+1+2+2-2-2-1-2+0-1+1+2+1-1-2-1+0+0+1-9+0-1+0+9+1-5+2+2+3+1+0-1-2-1+1+5+0+2-4-1-2-1+1-12+17+2-4+0-1+1+4+0-2+0-2-1-2+2+1+2-2-1+1+2+2-2-2-1-2+0-1+1+2+1-1-2-1+0+0+1-9+0-1+0+9+1-5+2+2+3+1+0-1-2-1+1+5+0+2-4-1-2-1+1-12";"udrdruuduuuurduuuddddrduuudddrrudrdruuduuuurddduurudddduduudrdruuduuuurduuuddddrduuudddrrudrdruuduuuurddduurudddduduudrduurdrddduuudduuuddddrduuudddrrudrdruuduuuurddduurudddduduudrduurdrddduuudduuuddddrduuudddrrudrdruuduuuurddduuruddddud"
"kt1_0008";"Hullu Sakari";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"13";"3/4";"c";"-()";"";"";"";"";"Nämä 7. ja 8. ovat sama polkka, eri versiot. Irrallinen veto vindildä otetan aldilda muolla paitzi tahdit 9 ja 10";"";"";"+1-12+12-12+12+0+2-15+15-15+15+1-1+1+2+2-2-2-1-2+0-1+1+2+1-1-2+0-1-2-2+4+1-12+12-12+12+0+2-15+15-15+15+1-1+1+2-2+2+0+2-4-1-2+2-2+0-1+1-12+12-12+12+0+2-15+15-15+15+1-1+1+2+2-2-2-1-2+0-1+1+2+1-1-2+0-1-2-2+4+1-12+12-12+12+0+2-15+15-15+15+1-1+1+2-2+2+0+2-4-1-2+2-2+0+9-2-4+0+4+0+0-2-2+2-3+0+0+1-1+1+2+2-2-2-1-2+0-1+1+2+1-1-2+0-1-2+2+0+1-12+12-12+12+0+2-15+15-15+15+1-1+1+2-2+2+0+2-4-1-2+2-2+0+9-2-4+0+4+0+0-2-2+2-3+0+0+1-1+1+2+2-2-2-1-2+0-1+1+2+1-1-2+0-1-2+2+0+1-12+12-12+12+0+2-15+15-15+15+1-1+1+2-2+2+0+2-4-1-2+2-2+0";"ududurududuuduuuddddrduuuddrddduududurududuuduudurudddudrdududurududuuduuuddddrduuuddrddduududurududuuduudurudddudruddrurrddudrruduuuddddrduuuddrddurududurududuuduudurudddudruddrurrddudrruduuuddddrduuuddrddurududurududuuduudurudddudr"
"kt1_0009";"Pringar";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"14";"3/4";"C";"-()";"";"";"";"";"Nämä 9. ja 10. ovat sama laulu, eri sävellaji.";"";"";"+24+0+2+0-5+0+0-1-3-1-2+3-1+3-2-1-2-2-1+1-5-3-4+0+24+0+2+0-5+0+0-1-3-1-2+3-1+3-2-1-2-2-1+1-5-3-4+0+24+0+2+0-5+0+0-1-3-1-2+3-1+3-2-1-2-2-1+3-2-12+24+0+2+0-5+0+0-1-3-1-2+3-1+3-2-1-2-2-1+3-2+0+4+1-1-2-2+2+0+2+3-2-1-2+2+0+3+2-2-2-1+1+0+4+2-2-2-2+2-2-1-2+3-1+3-2-1-2-2-1+1-5-3-4+12+4+1-1-2-2+2+0+2+3-2-1-2+2+0+3+2-2-2-1+1+0+4+2-2-2-2+2-2-1-2+3-1+3-2-1-2-2-1+1-5-3-4+12+4+1-1-2-2+2+0+2+3-2-1-2+2+0+3+2-2-2-1+1+0+4+2-2-2-2+2-2-1-2+3-1+3-2-1-2-2-1+3-2+0+4+1-1-2-2+2+0+2+3-2-1-2+2+0+3+2-2-2-1+1+0+4+2-2-2-2+2-2-1-2+3-1+3-2-1-2-2-1+3-2";"ururdrrddddududddddudddrururdrrddddududddddudddrururdrrddddududdddduddururdrrddddududddddudruuddduruuddduruuddduruudddudddududdddduddduuuddduruuddduruuddduruudddudddududdddduddduuuddduruuddduruuddduruudddudddududddddudruuddduruuddduruuddduruudddudddududddddud"
"kt1_0010";"";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"15";"3/4";"G";"-()";"";"";"";"";"Nämä 9. ja 10. ovat sama laulu, eri sävellaji.";"";"";"+12+0-1+0-2+0+2+1-3-2+0-2-1+1+2-3+1-1-2-2-1+1+2-3+1-5-3-4+12+12+0-1+0-2+0+2+1-3-2+0-2-1+1+2-3+1-1-2-2-1+1+2-3+1-5-3-4+12+12+0-1+0-2+0+2+1-3-2+0-2-1+1+2-3+1-1-2+2+1-1-2-2-1+1-12+12+12+0-1+0-2+0+2+1-3-2+0-2-1+1+2-3+1-1-2+2+1-1-2-2-1+1-12+12+4+1-1-2-2+2+0+3+2-2-1-2+2+0+3+0-2-1+1+0+4+2-2-2-2+2+0+5+0-1-2+2+1-7-1-2-2-1+1-12+12+4+1-1-2-2+2+0+3+2-2-1-2+2+0+3+0-2-1+1+0+4+2-2-2-2+2+0+5+0-1-2+2+1-7-1-2-2-1+1-12";"urdrdruuddrdduududddduududdduurdrdruuddrdduududddduududdduurdrdruuddrdduududduudddduduurdrdruuddrdduududduudddduduuuddduruudddururdduruudddururdduuddddduduuuddduruudddururdduruudddururdduudddddud"
"kt1_0011";"";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"15";"3/4";"C";"-()";"";"";"";"";"Nämä 11. ja 12. ovat sama laulu.";"";"";"+1-17+17-17+17+0+4-4+4-4+4+1-1+1+2+0+2-2-2-1+1+0-1+0-2-3+1-17+17-17+17+0+4-4+4-4+4+1-1+1+2+0+2-2-2-1+1+0-1+0-2+3-1-2-19+0+0+22-1-2+3-1-2-2+4-2-2-1+1-12+11+1-17+17-17+17+0+4-4+4-4+4+1-1+1+2+0+2-2-2-1+1+0-1+0-2-3+1-17+17-17+17+0+4-4+4-4+4+1-1+1+2+0+2-2-2-1+1+0-1+0-2+3-1-2-19+0+0+22-1-2+3-1-2-2+4-2-2-1+1-12+14-3-4+4+1+2-3+1+0-1-2+2+1-3+2+1+2+5-2+2+0-5-3-4+4-2-2-1+0+1+5+2+2+0-4+0+2+2+1-1-2+2+1-3+0+2+1+0-1+1+2+0+2-2-2-1+1+0-1+0-2+3-1-2-19+0+0+22-1-2+3-1-2+2-2-2-1+1-12+14-3-4+4+1+2-3+1+0-1-2+2+1-3+2+1+2+5-2+2+0-5-3-4+4-2-2-1+0+1+5+2+2+0-4+0+2+2+1-1-2+2+1-3+0+2+1+0-1+1+2+0+2-2-2-1+1+0-1+0-2+3-1-2-19+0+0+22-1-2+3-1-2+2-2-2-1+1-12";"ududurududuuduurudddurdrddududurududuuduurudddurdrdudddrrudduddduddduduududurududuuduurudddurdrddududurududuuduurudddurdrdudddrruddudddudddududduuudurdduuduuuudurdddudddruuuurdruuudduudruurduurudddurdrdudddrrudduddudddududduuudurdduuduuuudurdddudddruuuurdruuudduudruurduurudddurdrdudddrrudduddudddud"
"kt1_0012";"";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"17";"3/4";"C";"-()";"";"";"";"";"Nämä 11. ja 12. ovat sama laulu.";"";"";"+0-5+2-2-2-1-4+17-1-2+0-2+0+2+2+1+2+0+0-5+5+2-2-2-1+1-1-2-2-1+1+0-5+2-2-2-1-4+17-1-2+0-2+0+2+2+1+2+0+0-5+5+2-2-2-1+1-1-2-2-1-4+4+3-3-4+4+3-3-4+4+3-3-4+2+2+1+0-1+1+0-5+4+3-3-4+4+3-3-4+4+3-3-4+2+2+1+0-1+1+0-5-2-1-2-2+2+2+1+2+10-1-2-2-1+1-12+12+0-5+2-2-2-1-4+17-1-2+0-2+0+2+2+1+2+0+0-5+5+2-2-2-1+1-1-2-2-1+1+0-5+2-2-2-1-4+17-1-2+0-2+0+2+2+1+2+0+0-5+5+2-2-2-1+1-1-2-2-1-4+4+3-3-4+4+3-3-4+4+3-3-4+2+2+1+0-1+1+0-5+4+3-3-4+4+3-3-4+4+3-3-4+2+2+1+0-1+1+0-5-2-1-2-2+2+2+1+2+10-1-2-2-1+1-12+14-3-4+0+2+2+1-3+0-4+0-1+1+2+2-2-2-1+0+0-4+2+2+1+2+2+2+1+2+3-1-2-2-1+1+0+2+2+1+2+0+0-2+2+2-2-2-1+1-1-2-2-1-4+4+3-3-4+4+3-3-4+4+3-3-4+2+2+1+0-1+1+0-5+4+3-3-4+4+3-3-4+4+3-3-4+2+2+1+0-1+1+0-5-2-1-2-2+2+2+1+2+10-1-2-2-1+1-12+14-3-4+0+2+2+1-3+0-4+0-1+1+2+2-2-2-1+0+0-4+2+2+1+2+2+2+1+2+3-1-2-2-1+1+0+2+2+1+2+0+0-2+2+2-2-2-1+1-1-2-2-1-4+4+3-3-4+4+3-3-4+4+3-3-4+2+2+1+0-1+1+0-5+4+3-3-4+4+3-3-4+4+3-3-4+2+2+1+0-1+1+0-5-2-1-2-2+2+2+1+2+10-1-2-2-1+1-12";"rdudddduddrdruuuurrduuddduddddurdudddduddrdruuuurrduuddduddddduudduudduudduuurdurduudduudduudduuurdurddddduuuuuddddudurdudddduddrdruuuurrduuddduddddurdudddduddrdruuuurrduuddduddddduudduudduudduuurdurduudduudduudduuurdurddddduuuuuddddududdruuudrdrduuudddrrduuuuuuuuudddduruuuurrduuddduddddduudduudduudduuurdurduudduudduudduuurdurddddduuuuuddddududdruuudrdrduuudddrrduuuuuuuuudddduruuuurrduuddduddddduudduudduudduuurdurduudduudduudduuurdurddddduuuuuddddud"
"kt1_0013";"Hendrikin Polska";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"18";"3/4";"C";"-()";"";"";"";"";"Ensimmäinen Rebrici spelatan lopuxi nijnkujn aluuxikin";"";"";"+2-5+2-4+5-1-2+2-2-2-1+1+2-3-4+0-5+2-4+5-3+2-4-1+1+2-7+7+2-2-2-1+1+2+2-4+2+2+1+2+0+2-2+0-2-1-2+2-4+5-3+2-4-1+1+2-3-4+9-2+2-4-1+1+2+2-4+2+2+1+2+0+2-2-2+6+1+2+2+0-2-2-1+1-12+17+2-5+2-4+5-1-2+2-2-2-1+1+2-3-4+0-5+2-4+5-3+2-4-1+1+2-7+7+2-2-2-1+1+2+2-4+2+2+1+2+0+2-2+0-2-1-2+2-4+5-3+2-4-1+1+2-3-4+9-2+2-4-1+1+2+2-4+2+2+1+2+0+2-2-2+6+1+2+2+0-2-2-1+1-12+16-2+2+1-1-4-1+5-2+2+1+2-2-1-2+2+1+2+0-2+2+2-2-2+2-3-2+2+1-3+2+0+1-1+0-2+2+1-1-4-1+5-2+2+1+2-2-1-2+2+1+2+0-2+2+2-2-2+2-3-2+2+1-3+2+0+1-1";"udududduddduuddrdudududduuduuddduuuduuuurudrdddudududduuddududduuuduuuurudduuuurddduduudududduddduuddrdudududduuduuddduuuduuuurudrdddudududduuddududduuuduuuurudduuuurdddududuuddduduuuddduuurduuddudduudurudrduuddduduuuddduuurduuddudduudurud"
"kt1_0014";"Vanha Harmaa";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"19";"3/4";"G";"-()";"";"";"";"";"Harmaapäiden speli, koska he nuorta miestä hyppyyttävät. Katso nro 49.";"";"";"+5-1+1+2+2-2+2+1-1-2+2-4+4+1-1+1+2-2-1-2-2-1+1-5-3-4+14+5+0-1+1+2+2-2+2+1-1-2+2-4+5+0-1-2+5-2-1-2-2+4-2-2-1+1-12+0+5-1+1+2+2-2+2+1-1-2+2-4+4+1-1+1+2-2-1-2-2-1+1-5-3-4+14+5+0-1+1+2+2-2+2+1-1-2+2-4+5+0-1-2+5-2-1-2-2+4-2-2-1+1-12+17-1+1-1-2-2+4+1+2-2-1-2-2-2+0-3+2+1+2+2-2-2-1+1-1+1+2-2-1+1+2+0-3+1-1-2+2+1+2+5-1+1+2-3+0+1-8-2+2+1-1-2+2-4+4-2-2-1+1-12+24-1+1-1-2-2+4+1+2-2-1-2-2-2+0-3+2+1+2+2-2-2-1+1-1+1+2-2-1+1+2+0-3+1-1-2+2+1+2+5-1+1+2-3+0+1-8-2+2+1-1-2+2-4+4-2-2-1+1-12";"uduuuduudduduuduuddddduddduurduuuduuddudurdduddddudddudruduuuduudduduuduuddddduddduurduuuduuddudurdduddddudddudududdduuudddddrduuuuddduduudduurdudduuuuduudrudduuddududddudududdduuudddddrduuuuddduduudduurdudduuuuduudrudduuddududddud"
"kt1_0015";"";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"20";"3/4";"Bb";"-()";"";"";"";"";"";"Menee c-mollissa";"";"-1+1+2+0+2+0+0+2-2+0-2+2-2-2-1+1-1+1+2+0+2+0+0-2+2+2-2+2-2-2-2+2-2-1+1-1+1+2+0+2+0+0+2-2+0-2+2-2-2-1+1-1+1+2+0+2+0+0-2+2+2-2+2-2-2-2+2-2-1+1+2-2-1-2+0-1+1+2+1-1-2+2+0+1+2-2+2+2-4-1-2+3-1-2-1+1-12+15+2-2-1-2+0-1+1+2+1-1-2+2+0+1+2-2+2+2-4-1-2+3-1-2-1+1-12";"duururrudrduddduduururrduududddudduduururrudrduddduduururrduududddudduudddrduuudduruuduuddduddduduudddrduuudduruuduudddudddud"
"kt1_0016";"Aleksanteri Könni";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"21";"3/4";"C";"-()";"";"";"";"";"";"";"";"+0-2+2-2-3+2+0+0-2-2-1+1+2-3-4+0+0+0-2+2-2-1+0-2-2-1+1+2-3-4+19+2+0-2-2+2+2+1+2-8+0+1+0+7+0-2+2-2-3+2+0+0-2-2-1+1+2-3-4+0+0+0-2+2-2-1+0-2-2-1+1+2-3-4+19+2+0-2-2+2+2+1+2-8+0+1+0-5+2-2-2+0-3+2+0-2-3+1+2+2+1+2+0-3+3+2-2-2+0-3+2+0-2-3+1+2+2+1+2+0+7+2+0-2-2+2+2+1+2-8+0+1+2+2+0-2-2-1+0+1-5+2-2-2+0-3+2+0-2-3+1+2+2+1+2+0-3+3+2-2-2+0-3+2+0-2-3+1+2+2+1+2+0+7+2+0-2-2+2+2+1+2-8+0+1+2+2+0-2-2-1+0+1";"rduddurrddduuddrrrduddrddduudduurdduuuudrururduddurrddduuddrrrduddrddduudduurdduuuudrurduddrdurdduuuuurduuddrdurdduuuuuruurdduuuudruuurdddrududdrdurdduuuuurduuddrdurdduuuuuruurdduuuudruuurdddru"
"kt1_0017";"Pakana Juha";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"22";"3/4";"Bb";"-()";"";"";"";"";"";"Menee c-mollissa";"";"+1+2+2+0-4+4+2-2-2+0-2+0-1+1-1-2+2-2-1-4+7+1+2-2+2+2+0-4+4+2-2-2-2+0-1-2+3-1-2-1+1-12+14+1+2+2+0-4+4+2-2-2+0-2+0-1+1-1-2+2-2-1-4+7+1+2-2+2+2+0-4+4+2-2-2-2+0-1-2+3-1-2-1+1-12+14+3-2+0-1-2+2+1+2-2-1-2-1+0+6+2-2-2+0-1-2+3-1-2-1+1-12+14+3-2+0-1-2+2+1+2-2-1-2-1+0+6+2-2-2+0-1-2+3-1-2-1+1-12";"uuurduuddrdrdudduddduuuduurduudddrdduddduduuuurduuddrdrdudduddduuuduurduudddrdduddduduudrdduuuddddruuddrdduddduduudrdduuuddddruuddrddudddud"
"kt1_0018";"Koskas Pijka Poijan tiellta";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"22";"3/4";"C";"-()";"";"";"";"";"Nämä 18. ja 19. ovat sama laulu, tämä on vanhempi nuotti.";"";"";"-5+0+0+5+0+2+2+0+1-1-2-2+0-1-4+7-2-1-2-2+2+2+1+2+2+1-1-2+2+1-1-2+0-2+0-5+0+0+5+0+2+2+0+1-1-2-2+0-1-4+7-2-1-2-2+2+2+1+2+2+1-1-2+2+1-1-2+0-2+7-3+1+2-3+0+1+2+2-2-2-1-2+2+1-1+1+2-2-1+1+2-2-1-2-2+4-2-2-1+1-12+19-3+1+2-3+0+1+2+2-2-2-1-2+2+1-1+1+2-2-1+1+2-2-1-2-2+4-2-2-1+1-12+11+1+2+0+0-2-1+1-1-2+3-1-2-2-2+0-1-2-2+0+19+0-2+0-1-2+2+1-1-2-2+0-1-2-2+12-2+0+2-3+0+1+2+2-2-2-1+1-3+0+2+1+0-1+1+2-2-1-2-2+4-2-2-1+1-12+11+1+2+0+0-2-1+1-1-2+3-1-2-2-2+0-1-2-2+0+19+0-2+0-1-2+2+1-1-2-2+0-1-2-2+12-2+0+2-3+0+1+2+2-2-2-1+1-3+0+2+1+0-1+1+2-2-1-2-2+4-2-2-1+1-12";"drruruurudddrddudddduuuuuudduuddrdrdrruruurudddrddudddduuuuuudduuddrduduudruuudddduuduudduuddddudddududuudruuudddduuduudduudddduddduduuurrddudduddddrdddrurdrdduudddrdddudrudruuudddudruurduudddduddduduuurrddudduddddrdddrurdrdduudddrdddudrudruuudddudruurduuddddudddud"
"kt1_0019";"";"Kansantanssit";"Nuotti-kirja";"";"Samuel Rinda-Nickola";"1809";"23";"3/4";"C";"-()";"";"";"";"";"Nämä 18. ja 19. ovat sama laulu.";"";"";"+1-5+0+2+2+1+2+1+2-2-1-2+0+0-1-4+4+3-3-4+4+3-3-4+4+3-3+6-2-1+1+0-1-2-1+1-5+0+2+2+1+2+1+2-2-1-2+0+0-1-4+4+3-3-4+4+3-3-4+4+3-3+6-2-1+1+0-1-2+7+0-2+2-5+1+4-2+2-2-3+1+0-1+1+4+0+2-2-2+2-4-1-2+3-1-2-1+1-12+19+0-2+2-5+1+4-2+2-2-3+1+0-1+1+4+0+2-2-2+2-4-1-2+3-1-2-1+1-12+14+1-5-2-1-2-2+0-1+0+1+16+0+1-1-2+2-4+0-1-2+3-1-2-1+0+1+7+0-2+2-5+1+4-2+2-2-3+1+0-1+1+4+0+2-2-2+2-4-1-2+3-1-2-1+1-12+14+1-5-2-1-2-2+0-1+0+1+16+0+1-1-2+2-4+0-1-2+3-1-2-1+0+1+7+0-2+2-5+1+4-2+2-2-3+1+0-1+1+4+0+2-2-2+2-4-1-2+3-1-2-1+1-12";"udruuuuuudddrrdduudduudduududdurdddudruuuuuudddrrdduudduudduududdurddurduduududdurduuruddudddudddudurduduududdurduurudduddduddduduudddddrdruuruddudrddudddruurduduududdurduurudduddduddduduudddddrdruuruddudrddudddruurduduududdurduuruddudddudddud"
